"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"lts__t_requests_srcunit_l1_aperture_device_evict_last_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) marked evict-last that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_evict_last_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) marked evict-last that missed","1"
"lts__t_requests_srcunit_l1_aperture_device_evict_normal","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) marked evict-normal (LRU)","1"
"lts__t_requests_srcunit_l1_aperture_device_evict_normal_demote","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) marked evict-normal-demote","1"
"lts__t_requests_srcunit_l1_aperture_device_evict_normal_demote_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) marked evict-normal-demote that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_evict_normal_demote_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) marked evict-normal-demote that missed","1"
"lts__t_requests_srcunit_l1_aperture_device_evict_normal_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) marked evict-normal (LRU) that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_evict_normal_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) marked evict-normal (LRU) that missed","1"
"lts__t_requests_srcunit_l1_aperture_device_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) that missed","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for all atomics","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_alu","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS)","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_alu_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_cas","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for atomic CAS","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_cas_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for atomic CAS that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that missed","1"
"lts__t_requests_srcunit_l1_aperture_device_op_membar","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers","1"
"lts__t_requests_srcunit_l1_aperture_device_op_membar_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_op_membar_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers that missed","1"
"lts__t_requests_srcunit_l1_aperture_device_op_read","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for reads","1"
"lts__t_requests_srcunit_l1_aperture_device_op_read_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for reads that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_op_read_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for reads that missed","1"
"lts__t_requests_srcunit_l1_aperture_device_op_red","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for reductions","1"
"lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for reductions that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for reductions that missed","1"
"lts__t_requests_srcunit_l1_aperture_device_op_write","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for writes","1"
"lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for writes that hit","1"
"lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing device memory (vidmem) for writes that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem)","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_first","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-first","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_first_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-first that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_first_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-first that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_last","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-last","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_last_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-last that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_last_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-last that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_normal","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-normal (LRU)","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_normal_demote","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-normal-demote","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_normal_demote_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-normal-demote that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_normal_demote_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-normal-demote that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_normal_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-normal (LRU) that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_evict_normal_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) marked evict-normal (LRU) that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for all atomics","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_alu","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS)","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_alu_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS) that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_cas","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for atomic CAS","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for atomic CAS that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for all atomics that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for all atomics that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_membar","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_membar_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_membar_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_read","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for reads","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_read_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for reads that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_read_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for reads that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_red","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for reductions","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_red_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for reductions that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_red_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for reductions that missed","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_write","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for writes","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for writes that hit","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing peer memory (peermem) for writes that missed","1"
"lts__t_requests_srcunit_l1_aperture_sysmem","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem)","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_first","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-first","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_first_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-first that hit","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_first_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-first that missed","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_last","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-last","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_last_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-last that hit","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_last_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-last that missed","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_normal","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-normal (LRU)","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_normal_demote","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-normal-demote","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_normal_demote_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-normal-demote that hit","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_normal_demote_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-normal-demote that missed","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_normal_lookup_hit","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-normal (LRU) that hit","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_evict_normal_lookup_miss","Counter","request","# of LTS requests from unit L1 accessing system memory (sysmem) marked evict-normal (LRU) that missed","1"
